user_id,video_id,timestamp,watch_seconds,video_duration,watch_fraction,event_type,quiz_shown,quiz_correct,like,save,share,position_in_feed,hashtag,weight,positive,hour,day_of_week,days_since_epoch,confidence
user_242,video_176,2025-08-23 07:53:11.080284,36,145,0.25,skip,False,-1.0,0,0,0,2,#coğrafya#11#ayt,2.25,0,7,5,600,1.225
user_133,video_27,2025-08-18 18:07:15.080579,160,228,0.7,pause,False,-1.0,0,0,0,2,#fizik#10,4.5,1,18,0,595,1.45
user_471,video_68,2025-09-06 12:51:16.080785,150,164,0.91,complete,False,-1.0,0,0,0,16,#biyoloji#10,5.55,1,12,5,614,1.5550000000000002
user_288,video_112,2025-08-27 00:44:11.080987,37,170,0.22,skip,False,-1.0,0,0,0,10,#fizik#12#ayt,2.1,0,0,2,604,1.21
user_88,video_112,2025-09-06 13:31:13.081193,100,170,0.59,play,False,-1.0,0,0,0,15,#fizik#12#ayt,3.9499999999999997,0,13,5,614,1.395
user_343,video_186,2025-08-24 12:42:07.081449,78,115,0.68,play,False,-1.0,0,0,0,18,#edebiyat#12,4.4,1,12,6,601,1.44
user_182,video_102,2025-08-28 20:05:35.081683,61,183,0.33,play,True,0.0,0,0,0,19,#edebiyat#9#tyt,2.6500000000000004,0,20,3,605,1.2650000000000001
user_260,video_105,2025-09-13 18:50:30.081884,109,222,0.49,play,False,-1.0,0,0,0,8,#geometri#9#ayt,3.45,0,18,5,621,1.345
user_447,video_160,2025-08-29 19:39:11.082123,167,222,0.75,pause,False,-1.0,1,1,0,20,#edebiyat#9,8.25,1,19,4,606,1.8250000000000002
user_355,video_187,2025-09-09 03:23:34.082393,79,101,0.78,play,False,-1.0,0,0,0,19,#paragraf#10#ayt,4.9,1,3,1,617,1.49
user_340,video_191,2025-08-18 20:43:35.082650,93,93,1.0,complete,False,-1.0,0,0,0,7,#kimya#9#ayt,6.0,1,20,0,595,1.6
user_100,video_154,2025-08-25 18:52:00.082940,97,189,0.51,play,False,-1.0,0,0,0,14,#biyoloji#12#ayt,3.55,0,18,0,602,1.355
user_336,video_68,2025-09-16 01:30:52.083204,15,164,0.09,skip,False,-1.0,0,0,0,10,#biyoloji#10,1.45,0,1,1,624,1.145
user_440,video_198,2025-09-15 06:02:06.083471,112,163,0.69,play,False,-1.0,0,0,0,7,#paragraf#10,4.449999999999999,1,6,0,623,1.4449999999999998
user_270,video_174,2025-08-24 21:27:48.083754,59,93,0.63,pause,False,-1.0,0,0,0,1,#geometri#9#tyt,4.15,1,21,6,601,1.415
user_485,video_173,2025-08-21 18:10:33.084018,27,123,0.22,skip,False,-1.0,0,0,0,11,#tarih#9#ayt,2.1,0,18,3,598,1.21
user_226,video_69,2025-08-21 12:25:06.084262,153,183,0.84,play,False,-1.0,0,1,0,13,#fizik#11#tyt,6.7,1,12,3,598,1.67
user_391,video_155,2025-09-15 19:08:26.084480,0,118,0.0,skip,False,-1.0,0,0,0,10,#edebiyat#12#tyt,1.0,0,19,0,623,1.1
user_100,video_5,2025-08-24 22:25:59.084711,27,74,0.36,play,False,-1.0,0,0,0,13,#edebiyat#10#ayt,2.8,0,22,6,601,1.28
user_97,video_27,2025-08-20 11:49:14.084944,192,228,0.84,play,False,-1.0,0,0,0,14,#fizik#10,5.2,1,11,2,597,1.52
user_258,video_149,2025-08-29 08:41:09.085173,126,127,0.99,complete,True,1.0,1,0,0,19,#biyoloji#9,10.95,1,8,4,606,2.0949999999999998
user_337,video_180,2025-09-08 01:48:23.085344,86,206,0.42,pause,False,-1.0,0,0,0,1,#fizik#12#ayt,3.1,0,1,0,616,1.31
user_138,video_101,2025-09-13 06:24:01.085536,59,79,0.75,play,False,-1.0,1,0,0,14,#biyoloji#12#ayt,6.75,1,6,5,621,1.675
user_65,video_94,2025-09-16 17:32:34.085712,64,74,0.86,pause,False,-1.0,1,1,0,3,#tarih#10#ayt,8.8,1,17,1,624,1.8800000000000001
user_188,video_157,2025-09-16 23:45:30.085895,170,174,0.98,complete,False,-1.0,1,0,0,20,#biyoloji#12#ayt,7.9,1,23,1,624,1.79
user_136,video_67,2025-08-20 20:49:45.086102,118,145,0.81,pause,False,-1.0,0,0,0,1,#kimya#10#tyt,5.050000000000001,1,20,2,597,1.5050000000000001
user_269,video_135,2025-09-05 10:51:24.086285,82,129,0.64,play,True,0.0,0,0,0,14,#biyoloji#9#tyt,4.2,1,10,4,613,1.42
user_11,video_10,2025-09-04 16:03:07.086465,81,151,0.54,play,True,0.0,0,0,0,20,#matematik#9#ayt,3.7,0,16,3,612,1.37
user_470,video_102,2025-08-28 10:43:40.086672,71,183,0.39,pause,False,-1.0,0,0,1,18,#edebiyat#9#tyt,3.95,0,10,3,605,1.395
user_427,video_108,2025-09-16 03:21:51.086854,76,185,0.41,pause,True,0.0,0,0,0,3,#paragraf#10#tyt,3.05,0,3,1,624,1.305
user_410,video_101,2025-09-16 13:49:59.087038,34,79,0.43,pause,False,-1.0,0,0,0,16,#biyoloji#12#ayt,3.15,0,13,1,624,1.315
user_247,video_190,2025-09-05 14:37:16.087281,3,120,0.02,skip,False,-1.0,0,0,0,20,#biyoloji#12#tyt,1.1,0,14,4,613,1.11
user_219,video_70,2025-09-04 10:49:51.087501,233,236,0.99,complete,True,0.0,1,0,0,1,#tarih#12#ayt,7.95,1,10,3,612,1.795
user_484,video_193,2025-08-25 03:32:09.087725,15,143,0.1,skip,False,-1.0,0,0,0,8,#matematik#12,1.5,0,3,0,602,1.15
user_354,video_84,2025-08-20 19:28:36.088023,125,230,0.54,pause,False,-1.0,0,0,0,19,#kimya#10,3.7,0,19,2,597,1.37
user_402,video_15,2025-09-09 06:08:14.088272,128,192,0.67,pause,False,-1.0,0,0,0,13,#matematik#11#tyt,4.35,1,6,1,617,1.435
user_436,video_166,2025-09-10 04:31:12.088466,94,223,0.42,play,False,-1.0,0,0,0,1,#geometri#9,3.1,0,4,2,618,1.31
user_267,video_124,2025-08-21 12:38:13.088662,99,160,0.62,play,False,-1.0,0,0,0,10,#matematik#10#tyt,4.1,1,12,3,598,1.41
user_285,video_71,2025-08-21 04:10:01.088873,70,181,0.39,pause,False,-1.0,0,0,0,17,#tarih#11#ayt,2.95,0,4,3,598,1.295
user_399,video_127,2025-09-09 07:20:51.089067,6,71,0.08,skip,False,-1.0,0,0,0,17,#edebiyat#10#tyt,1.4,0,7,1,617,1.14
user_338,video_5,2025-08-22 21:24:29.089296,41,74,0.55,pause,False,-1.0,0,0,1,16,#edebiyat#10#ayt,4.75,0,21,4,599,1.475
user_15,video_163,2025-09-02 07:17:22.089499,48,200,0.24,skip,False,-1.0,0,0,0,20,#paragraf#10#tyt,2.2,0,7,1,610,1.22
user_418,video_73,2025-09-16 04:30:38.089724,90,148,0.61,play,True,1.0,0,0,0,5,#biyoloji#11#ayt,7.05,1,4,1,624,1.705
user_252,video_161,2025-09-15 02:00:39.090014,49,76,0.64,play,True,1.0,0,0,0,10,#edebiyat#10#tyt,7.2,1,2,0,623,1.7200000000000002
user_45,video_118,2025-08-25 00:07:47.090248,89,165,0.54,pause,False,-1.0,0,0,0,7,#fizik#10#tyt,3.7,0,0,0,602,1.37
user_411,video_97,2025-08-28 20:02:42.090488,51,63,0.81,play,True,1.0,0,0,0,9,#tarih#11#tyt,8.05,1,20,3,605,1.8050000000000002
user_267,video_19,2025-09-16 11:44:43.090678,153,230,0.67,play,False,-1.0,0,0,0,13,#tarih#10#tyt,4.35,1,11,1,624,1.435
user_292,video_10,2025-08-31 05:56:57.090878,129,151,0.85,pause,False,-1.0,1,0,0,9,#matematik#9#ayt,7.25,1,5,6,608,1.725
user_246,video_67,2025-09-03 18:58:13.091074,70,145,0.48,pause,False,-1.0,0,0,0,15,#kimya#10#tyt,3.4,0,18,2,611,1.34
user_477,video_149,2025-08-23 18:42:04.091302,24,127,0.19,skip,False,-1.0,0,0,0,17,#biyoloji#9,1.95,0,18,5,600,1.195
user_419,video_78,2025-08-19 15:11:03.091472,115,182,0.63,play,False,-1.0,0,0,0,16,#coğrafya#12#tyt,4.15,1,15,1,596,1.415
user_225,video_37,2025-09-12 14:40:31.091657,16,61,0.26,skip,False,-1.0,0,0,0,3,#tarih#10#tyt,2.3,0,14,4,620,1.23
user_250,video_152,2025-09-15 22:32:55.091852,46,73,0.63,pause,False,-1.0,0,0,0,18,#geometri#11,4.15,1,22,0,623,1.415
user_326,video_24,2025-08-25 00:41:06.092039,124,221,0.56,play,True,0.0,0,0,0,4,#edebiyat#9#ayt,3.8000000000000003,0,0,0,602,1.3800000000000001
user_294,video_175,2025-08-31 00:38:34.092222,127,131,0.97,complete,False,-1.0,1,0,0,9,#edebiyat#9#tyt,7.85,1,0,6,608,1.7850000000000001
user_218,video_2,2025-09-14 14:42:21.092414,45,161,0.28,skip,True,1.0,0,0,0,13,#biyoloji#11#ayt,5.4,1,14,6,622,1.54
user_397,video_85,2025-08-20 09:44:39.092614,74,90,0.82,play,False,-1.0,0,1,0,14,#coğrafya#12,6.6,1,9,2,597,1.6600000000000001
user_367,video_192,2025-08-20 17:47:33.092791,54,153,0.35,play,True,1.0,0,0,0,18,#coğrafya#12#tyt,5.75,1,17,2,597,1.5750000000000002
user_170,video_195,2025-09-05 02:29:00.092957,48,237,0.2,skip,False,-1.0,0,0,0,6,#tarih#9#ayt,2.0,0,2,4,613,1.2
user_303,video_133,2025-08-31 11:19:49.093151,135,163,0.83,play,False,-1.0,0,1,0,9,#biyoloji#11#ayt,6.6499999999999995,1,11,6,608,1.665
user_209,video_75,2025-09-05 06:19:25.093319,85,112,0.76,pause,False,-1.0,0,0,0,10,#coğrafya#12,4.8,1,6,4,613,1.48
user_476,video_125,2025-09-11 02:53:46.093498,3,167,0.02,skip,True,1.0,0,0,0,19,#matematik#11#ayt,4.1,1,2,3,619,1.41
user_486,video_162,2025-08-28 05:53:57.093879,44,75,0.59,play,True,1.0,0,0,0,1,#biyoloji#12#ayt,6.949999999999999,1,5,3,605,1.6949999999999998
user_33,video_171,2025-09-18 06:09:32.094344,79,150,0.53,pause,False,-1.0,0,0,0,8,#tarih#9#ayt,3.6500000000000004,0,6,3,626,1.365
user_249,video_126,2025-08-30 14:31:10.094906,153,215,0.71,play,False,-1.0,1,1,0,20,#edebiyat#9#ayt,8.05,1,14,5,607,1.8050000000000002
user_66,video_84,2025-09-06 03:55:32.095141,137,230,0.6,play,False,-1.0,0,0,0,14,#kimya#10,4.0,1,3,5,614,1.4
user_207,video_40,2025-09-16 10:52:20.095359,38,91,0.42,pause,False,-1.0,0,0,0,14,#tarih#11#tyt,3.1,0,10,1,624,1.31
user_11,video_99,2025-09-06 09:16:44.095594,78,78,1.0,complete,False,-1.0,1,0,0,8,#paragraf#11,8.0,1,9,5,614,1.8
user_368,video_116,2025-09-15 09:52:43.095904,27,190,0.14,skip,False,-1.0,0,0,0,6,#paragraf#11#ayt,1.7000000000000002,0,9,0,623,1.17
user_217,video_159,2025-08-22 04:00:55.096132,57,60,0.95,complete,False,-1.0,0,0,0,9,#coğrafya#11#ayt,5.75,1,4,4,599,1.5750000000000002
user_296,video_195,2025-08-30 02:19:03.096334,116,237,0.49,pause,False,-1.0,0,0,0,2,#tarih#9#ayt,3.45,0,2,5,607,1.345
user_322,video_100,2025-08-29 14:08:15.096579,76,161,0.47,play,False,-1.0,0,0,0,5,#geometri#10#ayt,3.3499999999999996,0,14,4,606,1.335
user_332,video_167,2025-08-30 10:08:14.096823,15,80,0.19,skip,True,0.0,0,0,0,3,#coğrafya#10#tyt,1.95,0,10,5,607,1.195
user_304,video_53,2025-09-10 06:12:28.097070,183,195,0.94,complete,False,-1.0,0,0,0,19,#edebiyat#12#tyt,5.699999999999999,1,6,2,618,1.5699999999999998
user_454,video_2,2025-08-28 04:21:09.097332,77,161,0.48,pause,True,0.0,0,0,0,2,#biyoloji#11#ayt,3.4,0,4,3,605,1.34
user_236,video_19,2025-09-09 06:49:54.097653,192,230,0.83,pause,False,-1.0,0,1,0,2,#tarih#10#tyt,6.6499999999999995,1,6,1,617,1.665
user_207,video_19,2025-09-03 10:06:30.097907,110,230,0.48,play,False,-1.0,0,0,0,7,#tarih#10#tyt,3.4,0,10,2,611,1.34
user_459,video_108,2025-09-08 18:21:36.098143,46,185,0.25,skip,True,1.0,0,0,0,14,#paragraf#10#tyt,5.25,1,18,0,616,1.525
user_8,video_38,2025-09-17 06:22:53.098424,32,93,0.34,play,False,-1.0,0,0,0,13,#coğrafya#11,2.7,0,6,2,625,1.27
user_217,video_124,2025-09-17 11:51:50.098675,92,160,0.57,pause,False,-1.0,0,0,0,2,#matematik#10#tyt,3.8499999999999996,0,11,2,625,1.385
user_338,video_127,2025-09-12 22:30:04.098906,24,71,0.34,pause,False,-1.0,0,0,0,3,#edebiyat#10#tyt,2.7,0,22,4,620,1.27
user_96,video_55,2025-08-26 22:28:55.099217,146,188,0.78,pause,False,-1.0,1,0,0,9,#paragraf#10#ayt,6.9,1,22,1,603,1.69
user_131,video_85,2025-09-10 21:44:17.099435,12,90,0.13,skip,False,-1.0,0,0,0,6,#coğrafya#12,1.65,0,21,2,618,1.165
user_419,video_72,2025-09-15 06:23:00.099657,41,134,0.31,pause,False,-1.0,0,0,0,20,#geometri#10,2.55,0,6,0,623,1.255
user_174,video_50,2025-08-20 06:23:48.099832,80,238,0.34,play,False,-1.0,0,0,0,4,#tarih#10#tyt,2.7,0,6,2,597,1.27
user_258,video_140,2025-08-19 08:02:33.099998,43,108,0.4,play,False,-1.0,0,0,0,3,#paragraf#10#ayt,3.0,0,8,1,596,1.3
user_201,video_55,2025-09-02 00:05:11.100267,117,188,0.62,play,True,0.0,0,0,0,3,#paragraf#10#ayt,4.1,1,0,1,610,1.41
user_129,video_147,2025-08-19 10:18:56.100456,22,100,0.22,skip,False,-1.0,0,0,0,10,#paragraf#12#ayt,2.1,0,10,1,596,1.21
user_319,video_148,2025-08-20 09:34:11.100685,106,132,0.8,play,False,-1.0,1,0,0,10,#kimya#10,7.0,1,9,2,597,1.7000000000000002
user_221,video_104,2025-08-19 06:05:51.100873,94,151,0.62,play,False,-1.0,0,0,0,14,#kimya#11#tyt,4.1,1,6,1,596,1.41
user_280,video_150,2025-08-29 21:46:07.101056,2,95,0.02,skip,True,0.0,0,0,0,11,#edebiyat#11,1.1,0,21,4,606,1.11
user_58,video_6,2025-08-28 11:26:40.101305,124,159,0.78,play,False,-1.0,1,1,0,13,#paragraf#12#tyt,8.4,1,11,3,605,1.84
user_411,video_33,2025-08-31 13:24:24.101547,56,220,0.25,skip,False,-1.0,0,0,0,11,#fizik#9,2.25,0,13,6,608,1.225
user_31,video_159,2025-09-08 14:38:35.101809,57,60,0.95,complete,False,-1.0,1,0,0,12,#coğrafya#11#ayt,7.75,1,14,0,616,1.775
user_303,video_158,2025-09-13 22:20:18.102024,89,108,0.82,pause,True,1.0,0,0,0,6,#edebiyat#11,8.1,1,22,5,621,1.81
user_213,video_95,2025-09-05 19:22:44.102290,83,109,0.76,pause,False,-1.0,0,1,0,4,#biyoloji#10#tyt,6.3,1,19,4,613,1.63
user_4,video_50,2025-08-20 20:38:13.102460,120,238,0.5,pause,False,-1.0,0,0,1,2,#tarih#10#tyt,4.5,0,20,2,597,1.45
user_434,video_57,2025-09-04 20:22:00.102642,4,196,0.02,skip,False,-1.0,0,0,0,16,#fizik#9#tyt,1.1,0,20,3,612,1.11
user_187,video_126,2025-08-21 07:07:51.102831,28,215,0.13,skip,False,-1.0,0,0,0,4,#edebiyat#9#ayt,1.65,0,7,3,598,1.165
user_223,video_196,2025-08-24 22:17:21.103024,1,223,0.0,skip,True,0.0,0,0,0,13,#biyoloji#9,1.0,0,22,6,601,1.1
user_145,video_141,2025-09-16 17:34:09.103220,80,113,0.71,pause,False,-1.0,1,0,0,8,#coğrafya#11,6.55,1,17,1,624,1.655
user_474,video_197,2025-09-07 03:38:14.103439,28,145,0.19,skip,True,1.0,0,0,0,4,#coğrafya#11#tyt,4.95,1,3,6,615,1.495
user_210,video_54,2025-08-31 03:43:20.103682,32,81,0.4,pause,False,-1.0,0,0,0,7,#matematik#11#tyt,3.0,0,3,6,608,1.3
user_316,video_68,2025-08-21 22:18:46.103870,95,164,0.58,play,False,-1.0,0,0,0,3,#biyoloji#10,3.9,0,22,3,598,1.3900000000000001
user_491,video_82,2025-09-14 03:49:45.104136,21,176,0.12,skip,False,-1.0,0,0,0,18,#fizik#9#tyt,1.6,0,3,6,622,1.1600000000000001
user_80,video_10,2025-08-30 10:46:05.104320,93,151,0.62,play,True,1.0,0,0,0,20,#matematik#9#ayt,7.1,1,10,5,607,1.71
user_333,video_73,2025-08-20 17:52:49.104478,115,148,0.78,pause,False,-1.0,0,1,0,5,#biyoloji#11#ayt,6.4,1,17,2,597,1.6400000000000001
user_388,video_195,2025-09-02 16:47:58.104659,103,237,0.43,pause,True,0.0,0,0,0,13,#tarih#9#ayt,3.15,0,16,1,610,1.315
user_15,video_28,2025-08-31 23:54:10.104858,126,173,0.73,pause,True,0.0,0,1,0,6,#kimya#11#ayt,6.15,1,23,6,608,1.6150000000000002
user_455,video_190,2025-08-20 12:59:44.105049,106,120,0.88,play,False,-1.0,1,0,0,17,#biyoloji#12#tyt,7.4,1,12,2,597,1.7400000000000002
user_186,video_114,2025-08-21 03:43:11.105234,124,226,0.55,play,False,-1.0,0,0,0,6,#edebiyat#11#ayt,3.75,0,3,3,598,1.375
user_170,video_184,2025-08-20 13:28:13.105416,33,231,0.14,skip,False,-1.0,0,0,0,5,#geometri#11#ayt,1.7000000000000002,0,13,2,597,1.17
user_59,video_14,2025-09-13 20:18:49.105595,56,105,0.53,play,False,-1.0,0,0,0,1,#tarih#11#ayt,3.6500000000000004,0,20,5,621,1.365
user_49,video_163,2025-09-12 18:53:10.105760,76,200,0.38,pause,False,-1.0,0,0,0,12,#paragraf#10#tyt,2.9,0,18,4,620,1.29
user_79,video_78,2025-09-13 15:11:42.105991,153,182,0.84,play,False,-1.0,1,0,0,2,#coğrafya#12#tyt,7.2,1,15,5,621,1.7200000000000002
user_225,video_44,2025-08-23 22:14:54.106210,52,237,0.22,skip,False,-1.0,0,0,0,18,#geometri#9#ayt,2.1,0,22,5,600,1.21
user_370,video_83,2025-09-17 01:02:17.106508,9,180,0.05,skip,True,1.0,0,0,0,6,#kimya#11,4.25,1,1,2,625,1.425
user_476,video_130,2025-09-06 03:47:46.106730,128,222,0.58,play,False,-1.0,0,0,0,19,#biyoloji#11#tyt,3.9,0,3,5,614,1.3900000000000001
user_85,video_127,2025-08-27 21:30:02.106923,22,71,0.31,play,True,0.0,0,0,0,7,#edebiyat#10#tyt,2.55,0,21,2,604,1.255
user_197,video_49,2025-08-22 16:49:43.107133,28,240,0.12,skip,False,-1.0,0,0,0,2,#edebiyat#10,1.6,0,16,4,599,1.1600000000000001
user_246,video_87,2025-09-14 01:48:09.107327,3,203,0.01,skip,True,1.0,0,0,0,1,#tarih#10#tyt,4.05,1,1,6,622,1.405
user_274,video_157,2025-09-15 07:19:04.107537,172,174,0.99,complete,False,-1.0,0,0,0,14,#biyoloji#12#ayt,5.95,1,7,0,623,1.5950000000000002
user_137,video_184,2025-09-13 13:43:54.107792,185,231,0.8,pause,True,1.0,0,0,0,5,#geometri#11#ayt,8.0,1,13,5,621,1.8
user_196,video_121,2025-08-18 23:40:47.108011,60,84,0.71,play,False,-1.0,1,0,0,19,#tarih#10#ayt,6.55,1,23,0,595,1.655
user_205,video_169,2025-09-04 05:44:54.108237,62,66,0.94,complete,False,-1.0,0,0,0,18,#kimya#10#tyt,5.699999999999999,1,5,3,612,1.5699999999999998
user_328,video_26,2025-09-04 21:42:36.108457,59,218,0.27,skip,True,0.0,0,0,0,7,#biyoloji#12,2.35,0,21,3,612,1.235
user_218,video_189,2025-08-20 23:31:56.108641,223,235,0.95,complete,False,-1.0,1,0,0,15,#matematik#9,7.75,1,23,2,597,1.775
user_281,video_114,2025-08-19 16:32:32.108875,3,226,0.01,skip,True,0.0,0,0,0,7,#edebiyat#11#ayt,1.05,0,16,1,596,1.105
user_452,video_44,2025-08-28 18:03:55.109160,93,237,0.39,pause,True,1.0,0,0,0,18,#geometri#9#ayt,5.95,1,18,3,605,1.5950000000000002
user_127,video_134,2025-08-26 05:30:15.109412,96,129,0.74,pause,True,1.0,0,0,0,9,#edebiyat#12#ayt,7.7,1,5,1,603,1.77
user_399,video_61,2025-09-04 20:05:28.109641,28,199,0.14,skip,True,0.0,0,0,0,3,#biyoloji#11#ayt,1.7000000000000002,0,20,3,612,1.17
user_257,video_52,2025-08-21 17:24:34.109820,61,113,0.54,pause,True,0.0,0,0,0,20,#paragraf#10#tyt,3.7,0,17,3,598,1.37
user_474,video_29,2025-08-25 08:05:56.110033,79,175,0.45,play,True,0.0,0,0,0,17,#biyoloji#12,3.25,0,8,0,602,1.325
user_92,video_77,2025-09-12 00:27:11.110247,111,186,0.6,play,False,-1.0,0,0,0,11,#tarih#12#tyt,4.0,1,0,4,620,1.4
user_37,video_75,2025-08-21 00:00:42.110454,105,112,0.94,complete,False,-1.0,1,0,1,18,#coğrafya#12,8.7,1,0,3,598,1.87
user_476,video_82,2025-08-26 21:35:23.110666,131,176,0.74,play,False,-1.0,1,1,0,18,#fizik#9#tyt,8.2,1,21,1,603,1.8199999999999998
user_219,video_31,2025-09-18 13:07:50.110877,117,119,0.98,complete,False,-1.0,0,1,0,20,#fizik#12#tyt,7.4,1,13,3,626,1.7400000000000002
user_143,video_100,2025-09-15 22:06:09.111083,128,161,0.8,pause,True,0.0,0,1,0,11,#geometri#10#ayt,6.5,1,22,0,623,1.65
user_468,video_184,2025-08-23 13:49:30.111265,160,231,0.69,play,False,-1.0,0,0,0,1,#geometri#11#ayt,4.449999999999999,1,13,5,600,1.4449999999999998
user_38,video_177,2025-09-16 05:17:08.111479,100,168,0.6,pause,False,-1.0,0,0,0,10,#matematik#12#tyt,4.0,1,5,1,624,1.4
user_241,video_144,2025-08-21 16:25:35.111664,90,104,0.87,pause,False,-1.0,0,1,0,11,#coğrafya#12,6.85,1,16,3,598,1.685
user_12,video_120,2025-09-08 18:34:45.111858,100,169,0.59,play,False,-1.0,0,0,0,9,#edebiyat#9#tyt,3.9499999999999997,0,18,0,616,1.395
user_38,video_144,2025-09-05 07:43:23.112040,17,104,0.16,skip,False,-1.0,0,0,0,10,#coğrafya#12,1.8,0,7,4,613,1.18
user_466,video_2,2025-09-03 04:23:45.112209,114,161,0.71,play,False,-1.0,0,0,0,10,#biyoloji#11#ayt,4.55,1,4,2,611,1.455
user_370,video_95,2025-09-08 19:20:30.112368,98,109,0.9,play,True,1.0,0,1,0,2,#biyoloji#10#tyt,10.0,1,19,0,616,2.0
user_458,video_31,2025-08-27 08:28:31.112539,34,119,0.29,skip,False,-1.0,0,0,0,4,#fizik#12#tyt,2.45,0,8,2,604,1.245
user_46,video_176,2025-09-09 00:56:10.112710,18,145,0.12,skip,False,-1.0,0,0,0,10,#coğrafya#11#ayt,1.6,0,0,1,617,1.1600000000000001
user_185,video_20,2025-09-13 21:14:51.112883,146,150,0.97,complete,False,-1.0,0,0,1,4,#paragraf#11,6.85,1,21,5,621,1.685
user_381,video_105,2025-09-04 06:02:34.113038,18,222,0.08,skip,False,-1.0,0,0,0,11,#geometri#9#ayt,1.4,0,6,3,612,1.14
user_456,video_36,2025-09-18 08:29:32.113203,150,229,0.66,pause,False,-1.0,0,0,0,12,#tarih#9#ayt,4.300000000000001,1,8,3,626,1.4300000000000002
user_83,video_76,2025-09-12 13:59:05.113369,50,78,0.64,pause,False,-1.0,0,0,0,20,#kimya#12#tyt,4.2,1,13,4,620,1.42
user_459,video_126,2025-09-15 03:13:17.113537,9,215,0.04,skip,False,-1.0,0,0,0,5,#edebiyat#9#ayt,1.2,0,3,0,623,1.12
user_457,video_140,2025-09-05 14:28:50.113692,51,108,0.47,pause,True,0.0,0,0,0,3,#paragraf#10#ayt,3.3499999999999996,0,14,4,613,1.335
user_104,video_171,2025-09-01 02:08:49.113910,61,150,0.41,pause,False,-1.0,0,0,0,16,#tarih#9#ayt,3.05,0,2,0,609,1.305
user_382,video_91,2025-09-08 23:02:45.114212,85,103,0.83,pause,True,0.0,1,1,0,20,#coğrafya#12,8.649999999999999,1,23,0,616,1.8649999999999998
user_497,video_80,2025-08-24 01:14:41.114398,29,87,0.33,play,True,1.0,0,0,0,14,#tarih#9,5.65,1,1,6,601,1.565
user_311,video_134,2025-09-06 19:06:05.114587,72,129,0.56,play,True,0.0,0,0,0,20,#edebiyat#12#ayt,3.8000000000000003,0,19,5,614,1.3800000000000001
user_111,video_17,2025-09-10 13:07:22.114816,40,64,0.62,play,False,-1.0,0,0,0,6,#coğrafya#10#ayt,4.1,1,13,2,618,1.41
user_410,video_85,2025-09-13 12:18:54.115111,41,90,0.46,play,True,0.0,0,0,0,16,#coğrafya#12,3.3000000000000003,0,12,5,621,1.33
user_376,video_74,2025-08-24 16:45:49.115298,3,63,0.05,skip,True,1.0,0,0,0,3,#kimya#10#ayt,4.25,1,16,6,601,1.425
user_311,video_104,2025-08-28 22:49:03.115486,92,151,0.61,play,False,-1.0,0,0,0,11,#kimya#11#tyt,4.05,1,22,3,605,1.405
user_215,video_32,2025-09-08 12:41:05.115684,131,185,0.71,pause,False,-1.0,0,0,0,6,#coğrafya#9#ayt,4.55,1,12,0,616,1.455
user_498,video_129,2025-08-24 09:27:38.116012,11,91,0.12,skip,True,0.0,0,0,0,17,#coğrafya#12#ayt,1.6,0,9,6,601,1.1600000000000001
user_195,video_6,2025-09-10 17:11:38.116253,158,159,0.99,complete,True,1.0,0,1,0,15,#paragraf#12#tyt,10.45,1,17,2,618,2.045
